sport,teams,team,bookmaker,market,odds,fetched_at
americanfootball_ncaaf,,LSU Tigers,FanDuel,h2h,1.22,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Clemson Tigers,FanDuel,spreads,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,LSU Tigers,FanDuel,spreads,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Over,FanDuel,totals,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Under,FanDuel,totals,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Louisville Cardinals,FanDuel,h2h,3.75,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Ole Miss Rebels,FanDuel,h2h,1.29,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Louisville Cardinals,FanDuel,spreads,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Ole Miss Rebels,FanDuel,spreads,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Over,FanDuel,totals,1.87,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Under,FanDuel,totals,1.95,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Notre Dame Fighting Irish,FanDuel,h2h,1.1,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Wisconsin Badgers,FanDuel,h2h,7.6,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Notre Dame Fighting Irish,FanDuel,spreads,1.87,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Wisconsin Badgers,FanDuel,spreads,1.95,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Over,FanDuel,totals,1.87,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Under,FanDuel,totals,1.95,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Michigan Wolverines,FanDuel,h2h,1.85,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Oklahoma Sooners,FanDuel,h2h,1.98,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Michigan Wolverines,FanDuel,spreads,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Oklahoma Sooners,FanDuel,spreads,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Over,FanDuel,totals,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Under,FanDuel,totals,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Ohio State Buckeyes,FanDuel,h2h,2.08,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Texas Longhorns,FanDuel,h2h,1.77,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Ohio State Buckeyes,FanDuel,spreads,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Texas Longhorns,FanDuel,spreads,1.91,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Over,FanDuel,totals,1.87,2026-03-17T19:54:20.559240
americanfootball_ncaaf,,Under,FanDuel,totals,1.95,2026-03-17T19:54:20.559240
basketball_nba,,Charlotte Hornets,FanDuel,h2h,1.49,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,FanDuel,h2h,2.72,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,FanDuel,spreads,1.93,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,FanDuel,spreads,1.89,2026-03-17T19:54:28.289526
basketball_nba,,Over,FanDuel,totals,1.88,2026-03-17T19:54:28.289526
basketball_nba,,Under,FanDuel,totals,1.94,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,DraftKings,h2h,1.46,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,DraftKings,h2h,2.8,2026-03-17T19:54:28.289526
basketball_nba,,Charlotte Hornets,DraftKings,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Miami Heat,DraftKings,spreads,1.91,2026-03-17T19:54:28.289526
basketball_nba,,Over,DraftKings,totals,1.91,2026-03-17T19:54:28.289526
